platform,product_id,product_name,rating,review_text,date,label
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,4,"Chắc hẳn đây là cuốn sách được nhiều người đọc, vào các nhóm trên *** thấy cũng nhiều người review, thế nên mình cũng mua một cuốn. Thấy nhiều người khen quá mà mình đọc xong cứ thấy bình thường, gần như không có nhiều thứ đọng lại, tất nhiên đây là ý kiến chủ quan thôi, mỗi người sẽ có cho mình một cảm nhận khác nhau. Mình thấy câu chuyện không thật sự xuất sắc như lời đồn, tuy vậy cũng không hẳn là tệ. Mình đánh giá cuốn này 6/10 điểm. Về vấn đề bán hàng của Tiki thì không có gì để nói, hầu như tất cả sách mình đặt đều được đóng gói rất cẩn thận, rất rất ít sách bị cấn móp, nói chung okeee",2025-08-06,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"Mua sách cũng lâu rui nhưng giờ mới có tgian đọc, mình đọc 1 mạch cho đến hết truyện. Mở đầu truyện đã mang tới cảm giác khá buồn rồi, đọc để thấu hiểu được cái nghèo nó có thể khiến một cậu bé còn chưa được 6t trưởng thành và mạnh mẽ tới mức ấy, và đôi khi lại rất nhạy cảm, một cậu bé thông mình và tinh nghịch nhưng lại ko có một ai có thể hiểu được cậu cho tới khi một người bạn đặc biệt xuất hiện khiến Zezé cảm nhận được sự ấm áp và trân trọng mà trước đây cậu chưa từng được đối xử như thế. Khúc cuối thật sự rất cảm động, sẽ không có một ai thay thế được hình bóng người bạn đặc biệt ấy trong lòng cậu bé cho tới cuối đời.",2025-02-15,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"Đây có lẽ là quyển sách đầu tiên mà trong lúc đọc mình lại khóc va cười nhiều đền vậy. Cười vì những trò tinh nghịch của cậu bé Zeze, thông mình lanh lợi và đầy tình cảm. Khóc vì cậu đã co 1 tuổi thơ bất hạnh vì những trận đòn ko đáng có. Tác phẩm hay rất đáng đọc.",2025-06-27,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"1 quyển sách giàu tình yêu thương, lòng nhân hậu và trong sáng của 1 đứa trẻ. Và đặt cho 1 câu hỏi về cách đối xử vs nhau giữa người và người, đặc biệt là trong 1 gia đình. Liệu đòn roi có phải 1 cách để đứa trẻ biết vâng lời, hay sẽ là tác động tiêu cực để rồi đứa trẻ mất đi những gì lẽ ra phải thuộc về nó, tình yêu thương, tính khám phá, tò mò của 1 đứa trẻ? Một câu chuyện buồn dễ lấy đi nước mắt của ng đọc, cảm nhận về những thứ trong sáng nhất bị lấy đi của 1 đứa trẻ thật sự đau lòng. Hãy đọc để hiểu được những gì con trẻ thật sự nghĩ, từ đó cho chúng ta cái nhìn khác về những trò nghịch ngợm, và bao dung hơn cho bọn nhỏ. 
1 quyển sách cảm động, theo mình nghĩ là vậy.",2025-06-15,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,2,"tiki trading đóng gói quá tệ, thật sự. Đối với 1 đứa yêu sách như mình thì nhìn sách bị df cực kì khí chịu. Lần đầu mình thấy cách gói đơn sách như vậy luôn á. Chỉ 1 lớp nilong mỏng dính xong bỏ vào hộp r quăng thêm 3 miếng nilong k biết có tác dụng gì???!? Hãy xem lại cách gói hàng của mình và gói hàng 1 cách có tâm với ạ. Bực mình thật sự đấy",2023-08-12,Negative
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,4,"hmm sẽ khá hay với những bạn thích đọc những quyển sách cho tâm hồn, nhưng sẽ khá bình thường cho những bạn đã đọc chicken soup for the soul. Nhưng mà sách vẫn rất ý nghĩa, mng mới đọc sách thì có thể tham khảo^^",2026-01-31,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"Đa số sách mình mua vì được truyền cảm hứng từ BTS, nhờ BTS đặc biệt là KIM NAM JOON trưởng nhóm giúp mình có rất nhiều động lực đọc sách
Phải khen Tiki vì luôn bán sách rẻ, chính hãng, giao nhanh, mua sách trên Tiki cũng được review rất kĩ từ các độc giả khác, cảm ơn mng rất nhiều",2024-03-15,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"chịu khó nghe sách nói top 10
 
 Ko tam 2 sau 6 ko 9 mot 7 ching",2026-05-26,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"Thấy nhiều bạn chê tiki gói hàng quá, may sao hàng mình không bị hư một tẹo nèo! mà đúng thật là hơi sơ sài ko bọc chống xóc, chỉ có sách và cái hộp.
rewiew sách: mik nghĩ cuốn này jhas healing( viết kiểu kể chuyện đọc ko  chán) nó thật sư là khám phá nỗi đau và yêu thương.",2022-07-07,Positive
tiki,74021317,Sách Cây Cam Ngọt Của Tôi,5,"Có những người bước đến, họ lấp đầy hạnh phúc vào từng vết nứt trong tim, khiến chúng được an ủi và chữa lành. Nhưng rồi họ lại ra đi, làm tan vỡ trái tim người ở lại….
Câu chuyện bắt đầu bằng sự vui vẻ, nghịch ngợm của một cậu bé mang tên Zezé và kết thúc là một nỗi đau tột cùng khi mất đi hai người bạn quý giá nhất đời mình.
Khi đọc cuốn tiểu thuyết này, các bạn hẳn sẽ nhiều lần đau xót vì thương cảm cho cậu bé chỉ mới 5 tuổi với một tuổi thơ nhiều rạn vỡ. Nhưng các bạn cũng sẽ mỉm cười và cảm thấy yêu thương sự sống từ trong sâu thẳm tim mình. Bởi trong suốt cuốn tiểu thuyết, người với người đối xử với nhau vẫn rất đỗi dịu dàng, yêu thương và trìu mến. Cho đến khi khép lại cuốn sách, thì trái tim chúng ta lại thổn thức với một nỗi buồn vương vấn, buồn cho sự mất mát từ những yêu thương và buồn cho sự trưởng thành từ những nỗi đau, sự trưởng thành quá sớm mà không ai mong muốn…
Một cuốn tự truyện đầy cảm động, tuy đau đớn nhưng vẫn ngập tràn tình yêu thương!!!
Cảm ơn Tiki 🧡",2021-10-11,Positive
